ind,reg_name,crash_date,fatalities_amount,victims_amount,vehicles_amount,participants_amount,reg_code
0,Московская область,2018-04-01,7,1,8,13,46
1,Московская область,2018-04-02,5,0,9,11,46
2,Московская область,2018-04-03,3,2,5,8,46
3,Московская область,2018-04-04,9,0,12,26,46
4,Московская область,2018-04-05,10,2,14,51,46
5,Московская область,2018-04-06,9,2,22,27,46
6,Московская область,2018-04-07,8,1,10,46,46
7,Московская область,2018-04-08,12,0,11,18,46
8,Московская область,2018-04-09,5,3,15,19,46
9,Московская область,2018-04-10,6,1,7,10,46
10,Московская область,2018-04-11,6,0,7,11,46
11,Московская область,2018-04-12,29,4,11,31,46
12,Московская область,2018-04-13,7,1,8,14,46
13,Московская область,2018-04-14,24,5,39,93,46
14,Московская область,2018-04-15,7,3,10,27,46
15,Московская область,2018-04-16,7,0,11,13,46
16,Московская область,2018-04-17,3,1,7,8,46
17,Московская область,2018-04-18,11,1,16,21,46
18,Московская область,2018-04-19,7,1,16,18,46
19,Московская область,2018-04-20,13,1,15,33,46
20,Московская область,2018-04-21,19,1,26,56,46
21,Московская область,2018-04-22,17,3,19,28,46
22,Московская область,2018-04-23,13,0,17,33,46
23,Московская область,2018-04-24,6,2,13,15,46
24,Московская область,2018-04-25,4,1,7,20,46
25,Московская область,2018-04-26,9,0,18,30,46
26,Московская область,2018-04-27,11,0,18,22,46
27,Московская область,2018-04-28,7,0,20,20,46
28,Московская область,2018-04-29,11,5,21,50,46
29,Московская область,2018-04-30,32,1,28,69,46
30,Московская область,2018-05-01,29,4,24,61,46
31,Московская область,2018-05-02,12,4,27,74,46
32,Московская область,2018-05-03,13,6,27,66,46
33,Московская область,2018-05-04,16,2,18,72,46
34,Московская область,2018-05-05,12,3,13,53,46
35,Московская область,2018-05-06,25,1,18,43,46
36,Московская область,2018-05-07,4,2,9,12,46
37,Московская область,2018-05-08,13,0,21,69,46
38,Московская область,2018-05-09,18,0,20,29,46
39,Московская область,2018-05-10,14,1,19,25,46
40,Московская область,2018-05-11,15,0,24,54,46
41,Московская область,2018-05-12,18,7,23,47,46
42,Московская область,2018-05-13,12,0,17,22,46
43,Московская область,2018-05-14,11,0,15,41,46
44,Московская область,2018-05-15,6,0,8,11,46
45,Московская область,2018-05-16,11,3,16,33,46
46,Московская область,2018-05-17,5,0,11,12,46
47,Московская область,2018-05-18,10,4,24,43,46
48,Московская область,2018-05-19,12,1,12,19,46
49,Московская область,2018-05-20,13,2,14,33,46
50,Московская область,2018-05-21,10,2,14,20,46
51,Московская область,2018-05-22,10,2,19,43,46
52,Московская область,2018-05-23,12,1,17,34,46
53,Московская область,2018-05-24,22,0,20,31,46
54,Московская область,2018-05-25,15,4,27,58,46
55,Московская область,2018-05-26,24,2,27,64,46
56,Московская область,2018-05-27,29,1,33,83,46
57,Московская область,2018-05-28,11,1,23,27,46
58,Московская область,2018-05-29,18,2,19,33,46
59,Московская область,2018-05-30,20,1,22,29,46
60,Московская область,2018-05-31,9,2,15,52,46
61,Московская область,2018-06-01,4,8,13,16,46
62,Московская область,2018-06-02,20,3,16,38,46
63,Московская область,2018-06-03,19,1,22,37,46
64,Московская область,2018-06-04,14,2,21,29,46
65,Московская область,2018-06-05,19,2,27,44,46
66,Московская область,2018-06-06,10,5,15,24,46
67,Московская область,2018-06-07,10,3,22,26,46
68,Московская область,2018-06-08,4,4,13,13,46
69,Московская область,2018-06-09,16,2,26,33,46
70,Московская область,2018-06-10,12,1,13,33,46
71,Московская область,2018-06-11,24,1,16,53,46
72,Московская область,2018-06-12,10,0,16,31,46
73,Московская область,2018-06-13,6,1,12,25,46
74,Московская область,2018-06-14,3,3,11,22,46
75,Московская область,2018-06-15,14,1,21,29,46
76,Московская область,2018-06-16,19,3,26,65,46
77,Московская область,2018-06-17,26,4,40,59,46
78,Московская область,2018-06-18,10,1,13,39,46
79,Московская область,2018-06-19,14,1,19,47,46
80,Московская область,2018-06-20,12,1,22,37,46
81,Московская область,2018-06-21,20,3,28,42,46
82,Московская область,2018-06-22,15,5,30,58,46
83,Московская область,2018-06-23,21,2,27,37,46
84,Московская область,2018-06-24,15,3,18,37,46
85,Московская область,2018-06-25,14,2,24,38,46
86,Московская область,2018-06-26,16,1,20,38,46
87,Московская область,2018-06-27,24,3,27,50,46
88,Московская область,2018-06-28,22,6,33,61,46
89,Московская область,2018-06-29,7,1,14,30,46
90,Московская область,2018-06-30,21,3,34,94,46
91,Московская область,2018-07-01,19,5,24,55,46
92,Московская область,2018-07-02,24,0,25,69,46
93,Московская область,2018-07-03,5,1,10,14,46
94,Московская область,2018-07-04,20,2,20,50,46
95,Московская область,2018-07-05,20,1,22,40,46
96,Московская область,2018-07-06,8,0,13,13,46
97,Московская область,2018-07-07,22,3,19,54,46
98,Московская область,2018-07-08,23,2,22,56,46
99,Московская область,2018-07-09,1,2,7,16,46
100,Московская область,2018-07-10,3,4,13,14,46
101,Московская область,2018-07-11,1,1,2,14,46
102,Московская область,2018-07-12,2,0,4,4,46
103,Московская область,2018-07-13,6,4,14,29,46
104,Московская область,2018-07-14,14,2,22,52,46
105,Московская область,2018-07-15,4,3,12,15,46
106,Московская область,2018-07-16,18,2,24,42,46
107,Московская область,2018-07-17,17,3,20,47,46
108,Московская область,2018-07-18,11,3,20,46,46
109,Московская область,2018-07-19,20,1,12,45,46
110,Московская область,2018-07-20,13,4,24,28,46
111,Московская область,2018-07-21,3,1,7,8,46
112,Московская область,2018-07-22,2,2,4,17,46
113,Московская область,2018-07-23,4,0,3,5,46
114,Московская область,2018-07-24,5,0,5,17,46
115,Московская область,2018-07-25,7,0,7,11,46
116,Московская область,2018-07-26,13,0,14,31,46
117,Московская область,2018-07-27,5,2,6,31,46
118,Московская область,2018-07-28,15,4,21,39,46
119,Московская область,2018-07-29,11,0,12,18,46
120,Московская область,2018-07-30,11,2,14,32,46
121,Московская область,2018-07-31,2,0,4,5,46
122,Московская область,2018-08-01,21,0,21,29,46
123,Московская область,2018-08-02,6,2,11,34,46
124,Московская область,2018-08-03,11,3,15,19,46
125,Московская область,2018-08-04,8,1,9,14,46
126,Московская область,2018-08-05,18,2,21,33,46
127,Московская область,2018-08-06,16,3,19,38,46
128,Московская область,2018-08-07,3,1,4,7,46
129,Московская область,2018-08-08,7,0,10,14,46
130,Московская область,2018-08-09,10,2,17,43,46
131,Московская область,2018-08-10,17,0,15,45,46
132,Московская область,2018-08-11,11,1,17,22,46
133,Московская область,2018-08-12,18,2,17,71,46
134,Московская область,2018-08-13,22,2,28,56,46
135,Московская область,2018-08-14,7,1,9,14,46
136,Московская область,2018-08-15,5,2,11,24,46
137,Московская область,2018-08-16,3,0,5,17,46
138,Московская область,2018-08-17,26,7,41,55,46
139,Московская область,2018-08-18,21,4,34,63,46
140,Московская область,2018-08-19,23,4,36,59,46
141,Московская область,2018-08-20,9,1,15,22,46
142,Московская область,2018-08-21,25,4,37,47,46
143,Московская область,2018-08-22,20,6,25,35,46
144,Московская область,2018-08-23,7,2,15,17,46
145,Московская область,2018-08-24,16,2,16,34,46
146,Московская область,2018-08-25,32,3,37,97,46
147,Московская область,2018-08-26,22,3,30,63,46
148,Московская область,2018-08-27,15,3,28,55,46
149,Московская область,2018-08-28,13,3,21,36,46
150,Московская область,2018-08-29,25,3,37,66,46
151,Московская область,2018-08-30,16,0,16,34,46
152,Московская область,2018-08-31,17,1,28,54,46
153,Московская область,2018-09-01,20,3,25,59,46
154,Московская область,2018-09-02,14,2,19,50,46
155,Московская область,2018-09-03,10,1,14,18,46
156,Московская область,2018-09-04,18,3,18,40,46
157,Московская область,2018-09-05,26,8,42,87,46
158,Московская область,2018-09-06,15,2,23,63,46
159,Московская область,2018-09-07,11,5,25,61,46
160,Московская область,2018-09-08,20,4,29,75,46
161,Московская область,2018-09-09,33,3,39,64,46
162,Московская область,2018-09-10,20,2,25,57,46
163,Московская область,2018-09-11,21,6,34,52,46
164,Московская область,2018-09-12,24,3,29,40,46
165,Московская область,2018-09-13,7,3,19,17,46
166,Московская область,2018-09-14,23,2,36,48,46
167,Московская область,2018-09-15,30,4,26,60,46
168,Московская область,2018-09-16,21,1,23,48,46
169,Московская область,2018-09-17,13,0,16,33,46
170,Московская область,2018-09-18,10,3,16,34,46
171,Московская область,2018-09-19,17,4,34,40,46
172,Московская область,2018-09-20,16,1,23,30,46
173,Московская область,2018-09-21,6,2,9,13,46
174,Московская область,2018-09-22,29,2,39,74,46
175,Московская область,2018-09-23,13,2,16,35,46
176,Московская область,2018-09-24,5,1,8,20,46
177,Московская область,2018-09-25,4,0,8,9,46
178,Московская область,2018-09-26,4,1,7,10,46
179,Московская область,2018-09-27,4,0,10,11,46
180,Московская область,2018-09-28,14,5,16,35,46
181,Московская область,2018-09-29,30,3,16,54,46
182,Московская область,2018-09-30,12,1,16,23,46
183,Московская область,2018-10-01,4,4,8,25,46
184,Московская область,2018-10-02,10,3,16,21,46
185,Московская область,2018-10-03,23,7,43,49,46
186,Московская область,2018-10-04,12,2,21,27,46
187,Московская область,2018-10-05,17,2,20,31,46
188,Московская область,2018-10-06,14,2,20,40,46
189,Московская область,2018-10-07,18,2,30,69,46
190,Московская область,2018-10-08,7,1,14,29,46
191,Московская область,2018-10-09,13,1,16,41,46
192,Московская область,2018-10-10,21,0,21,34,46
193,Московская область,2018-10-11,10,4,19,36,46
194,Московская область,2018-10-12,19,6,32,48,46
195,Московская область,2018-10-13,22,2,29,42,46
196,Московская область,2018-10-14,25,2,24,86,46
197,Московская область,2018-10-15,18,2,27,66,46
198,Московская область,2018-10-16,17,1,30,66,46
199,Московская область,2018-10-17,7,8,11,32,46
200,Московская область,2018-10-18,16,1,7,19,46
201,Московская область,2018-10-19,11,7,18,38,46
202,Московская область,2018-10-20,16,5,23,56,46
203,Московская область,2018-10-21,16,5,8,33,46
204,Московская область,2018-10-22,10,3,19,43,46
205,Московская область,2018-10-23,11,5,23,40,46
206,Московская область,2018-10-24,17,1,25,41,46
207,Московская область,2018-10-25,11,1,13,22,46
208,Московская область,2018-10-26,6,2,8,24,46
209,Московская область,2018-10-27,11,1,16,35,46
210,Московская область,2018-10-28,16,2,27,56,46
211,Московская область,2018-10-29,14,3,28,43,46
212,Московская область,2018-10-30,19,1,22,40,46
213,Московская область,2018-10-31,16,2,22,39,46
214,Московская область,2018-11-01,9,1,21,22,46
215,Московская область,2018-11-02,15,3,25,36,46
216,Московская область,2018-11-03,11,1,14,21,46
217,Московская область,2018-11-04,17,2,30,46,46
218,Московская область,2018-11-05,23,2,29,41,46
219,Московская область,2018-11-06,13,5,22,43,46
220,Московская область,2018-11-07,15,1,17,45,46
221,Московская область,2018-11-08,12,0,11,17,46
222,Московская область,2018-11-09,7,6,20,23,46
223,Московская область,2018-11-10,18,0,18,27,46
224,Московская область,2018-11-11,14,2,25,44,46
225,Московская область,2018-11-12,10,1,14,42,46
226,Московская область,2018-11-13,16,2,25,51,46
227,Московская область,2018-11-14,2,0,4,5,46
228,Московская область,2018-11-15,11,2,14,45,46
229,Московская область,2018-11-16,9,4,17,35,46
230,Московская область,2018-11-17,12,1,19,49,46
231,Московская область,2018-11-18,15,2,14,36,46
232,Московская область,2018-11-19,20,1,18,27,46
233,Московская область,2018-11-20,6,2,8,13,46
234,Московская область,2018-11-21,6,1,5,19,46
235,Московская область,2018-11-22,14,2,19,25,46
236,Московская область,2018-11-23,20,0,22,30,46
237,Московская область,2018-11-24,15,0,17,35,46
238,Московская область,2018-11-25,6,2,11,36,46
239,Московская область,2018-11-26,9,4,14,42,46
240,Московская область,2018-11-27,17,2,23,63,46
241,Московская область,2018-11-28,20,4,20,31,46
242,Московская область,2018-11-29,17,1,24,51,46
243,Московская область,2018-11-30,12,1,12,22,46
244,Московская область,2018-12-01,17,0,23,43,46
245,Московская область,2018-12-02,22,6,30,76,46
246,Московская область,2018-12-03,8,1,11,27,46
247,Московская область,2018-12-04,13,4,22,41,46
248,Московская область,2018-12-05,9,1,11,25,46
249,Московская область,2018-12-06,37,5,39,57,46
250,Московская область,2018-12-07,16,3,31,52,46
251,Московская область,2018-12-08,8,3,17,23,46
252,Московская область,2018-12-09,17,0,17,37,46
253,Московская область,2018-12-10,32,2,30,60,46
254,Московская область,2018-12-11,11,2,11,38,46
255,Московская область,2018-12-12,19,0,23,34,46
256,Московская область,2018-12-13,22,5,39,61,46
257,Московская область,2018-12-14,11,2,17,23,46
258,Московская область,2018-12-15,15,4,20,32,46
259,Московская область,2018-12-16,5,0,3,6,46
260,Московская область,2018-12-17,17,2,20,36,46
261,Московская область,2018-12-18,10,1,18,42,46
262,Московская область,2018-12-19,22,2,32,42,46
263,Московская область,2018-12-20,8,3,17,32,46
264,Московская область,2018-12-21,19,1,24,45,46
265,Московская область,2018-12-22,23,2,27,42,46
266,Московская область,2018-12-23,16,2,20,41,46
267,Московская область,2018-12-24,17,2,28,35,46
268,Московская область,2018-12-25,12,1,24,37,46
269,Московская область,2018-12-26,12,4,24,28,46
270,Московская область,2018-12-27,14,1,15,20,46
271,Московская область,2018-12-28,8,2,14,39,46
272,Московская область,2018-12-29,15,3,24,29,46
273,Московская область,2018-12-30,17,3,17,27,46
274,Московская область,2018-12-31,6,0,6,20,46
275,Оренбургская область,2018-04-01,1,0,1,2,53
276,Оренбургская область,2018-04-02,3,1,4,16,53
277,Оренбургская область,2018-04-03,2,0,4,4,53
278,Оренбургская область,2018-04-04,0,0,0,0,53
279,Оренбургская область,2018-04-05,1,0,2,2,53
280,Оренбургская область,2018-04-06,0,0,0,0,53
