,reg_name,crash_month,fatalities_amount,reg_code
0,Алтайский край,4,44,1
1,Алтайский край,5,49,1
2,Алтайский край,6,101,1
3,Алтайский край,7,116,1
4,Алтайский край,8,107,1
5,Алтайский край,9,90,1
6,Алтайский край,10,121,1
7,Алтайский край,11,120,1
8,Алтайский край,12,127,1
9,Амурская область,4,36,10
10,Амурская область,5,35,10
11,Амурская область,6,61,10
12,Амурская область,7,66,10
13,Амурская область,8,44,10
14,Амурская область,9,46,10
15,Амурская область,10,68,10
16,Амурская область,11,48,10
17,Амурская область,12,69,10
18,Архангельская область,4,38,11
19,Архангельская область,5,64,11
20,Архангельская область,6,102,11
21,Архангельская область,7,69,11
22,Архангельская область,8,47,11
23,Архангельская область,9,86,11
24,Архангельская область,10,62,11
25,Архангельская область,11,71,11
26,Архангельская область,12,84,11
27,Астраханская область,4,35,12
28,Астраханская область,5,33,12
29,Астраханская область,6,64,12
30,Астраханская область,7,41,12
31,Астраханская область,8,70,12
32,Астраханская область,9,58,12
33,Астраханская область,10,53,12
34,Астраханская область,11,45,12
35,Астраханская область,12,51,12
36,Белгородская область,4,22,14
37,Белгородская область,5,13,14
38,Белгородская область,6,45,14
39,Белгородская область,7,53,14
40,Белгородская область,8,49,14
41,Белгородская область,9,29,14
42,Белгородская область,10,66,14
43,Белгородская область,11,46,14
44,Белгородская область,12,28,14
45,Брянская область,4,46,15
46,Брянская область,5,52,15
47,Брянская область,6,64,15
48,Брянская область,7,52,15
49,Брянская область,8,58,15
50,Брянская область,9,35,15
51,Брянская область,10,60,15
52,Брянская область,11,44,15
53,Брянская область,12,71,15
54,Владимирская область,4,106,17
55,Владимирская область,5,143,17
56,Владимирская область,6,169,17
57,Владимирская область,7,144,17
58,Владимирская область,8,97,17
59,Владимирская область,9,113,17
60,Владимирская область,10,145,17
61,Владимирская область,11,147,17
62,Владимирская область,12,227,17
63,Волгоградская область,4,28,18
64,Волгоградская область,5,33,18
65,Волгоградская область,6,43,18
66,Волгоградская область,7,52,18
67,Волгоградская область,8,72,18
68,Волгоградская область,9,64,18
69,Волгоградская область,10,40,18
70,Волгоградская область,11,58,18
71,Волгоградская область,12,65,18
72,Вологодская область,4,28,19
73,Вологодская область,5,44,19
74,Вологодская область,6,71,19
75,Вологодская область,7,56,19
76,Вологодская область,8,46,19
77,Вологодская область,9,70,19
78,Вологодская область,10,90,19
79,Вологодская область,11,65,19
80,Вологодская область,12,82,19
81,Воронежская область,4,69,20
82,Воронежская область,5,114,20
83,Воронежская область,6,175,20
84,Воронежская область,7,131,20
